p1_id,p2_id,doc_id,sentence_index,label,expectation,tokens,p1_text,p1_start,p1_end,p2_text,p2_start,p2_end,features,weights
22adb358-5ea8-40bf-ad95-b5a7e1810bea_27_11_12,22adb358-5ea8-40bf-ad95-b5a7e1810bea_27_9_9,22adb358-5ea8-40bf-ad95-b5a7e1810bea,27,,0.996,"{Judge,Stephenson,is,preceded,in,death,by,his,parents,Paul,and,Carroll,Stephenson,.}",Carroll Stephenson,11,12,Paul,9,9,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_WORD_SEQ_[and],INV_LEMMA_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],INV_BETW_D_[conj_and],INV_BETW_L_[conj_and],INV_BETW_[conj_and],INV_W_NER_L_1_R_1_[O]_[O],INV_LENGTHS_[3_0],""INV_W_NER_L_2_R_1_[O O]_[O]"",INV_W_LEMMA_L_1_R_1_[parent]_[.],""INV_W_LEMMA_L_2_R_1_[he parent]_[.]"",""INV_W_NER_L_3_R_1_[O O O]_[O]"",""INV_W_LEMMA_L_3_R_1_[by he parent]_[.]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,0.334665,0.330707,0.324957,-0.282554,-0.212128,-0.181359,-0.024521,-0.0220253,0.00138261,0}"
8afc4b5a-e433-46c9-8290-4f541a7f8f16_17_15_16,8afc4b5a-e433-46c9-8290-4f541a7f8f16_17_13_13,8afc4b5a-e433-46c9-8290-4f541a7f8f16,17,,0.997,"{Or,some,folks,prefer,Rose,Lake,"","",Mich.,"","",including,Sharon,Kellermeier,"","",Dave,and,Ellen,Nowak,"","",and,Brent,and,Pam,Cousino,.}",Ellen Nowak,15,16,Dave,13,13,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_WORD_SEQ_[and],INV_LEMMA_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],""INV_W_LEMMA_L_1_R_1_[,]_[,]"",INV_W_NER_L_1_R_1_[O]_[O],INV_LENGTHS_[2_0],""INV_W_NER_L_1_R_3_[O]_[O O O]"",""INV_W_NER_L_2_R_1_[PERSON O]_[O]"",""INV_W_NER_L_2_R_3_[PERSON O]_[O O O]"",""INV_BETW_L_[conj_and conj_and]"",""INV_W_NER_L_3_R_1_[PERSON PERSON O]_[O]"",""INV_W_NER_L_3_R_3_[PERSON PERSON O]_[O O O]"",""INV_W_LEMMA_L_1_R_2_[,]_[, and]"",""INV_W_NER_L_2_R_2_[PERSON O]_[O O]"",""INV_W_NER_L_1_R_2_[O]_[O O]"",""INV_W_NER_L_3_R_2_[PERSON PERSON O]_[O O]"",""INV_W_LEMMA_L_3_R_1_[Sharon Kellermeier ,]_[,]"",""INV_BETW_D_[conj_and Kellermeier conj_and]"",""INV_W_LEMMA_L_2_R_2_[Kellermeier ,]_[, and]"",""INV_W_LEMMA_L_3_R_3_[Sharon Kellermeier ,]_[, and Brent]"",""INV_W_LEMMA_L_3_R_2_[Sharon Kellermeier ,]_[, and]"",""INV_W_LEMMA_L_2_R_3_[Kellermeier ,]_[, and Brent]"",""INV_BETW_[conj_and Kellermeier conj_and]"",""INV_W_LEMMA_L_2_R_1_[Kellermeier ,]_[,]"",""INV_W_LEMMA_L_1_R_3_[,]_[, and Brent]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,0.620401,-0.282554,-0.260218,0.240517,-0.20124,-0.182793,0.121314,-0.117852,-0.0994847,0.0461265,-0.044868,-0.0407692,-0.0034324,0,0,0,0,0,0,0,0,0}"
93a4039f-e08d-4d07-8695-80dff7c0877e_3_0_0,93a4039f-e08d-4d07-8695-80dff7c0877e_3_2_3,93a4039f-e08d-4d07-8695-80dff7c0877e,3,,0.935,"{Denise,and,Bryan,Cupoli,of,Rutland,forged,a,personal,connection,with,Nepal,and,its,people,in,2007,when,they,backpacked,in,the,land,of,the,Himalayas,for,a,month,.}",Denise,0,0,Bryan Cupoli,2,3,"{NER_SEQ_[O],NGRAM_1_[and],POS_SEQ_[CC],WORD_SEQ_[and],LEMMA_SEQ_[and],STARTS_WITH_CAPITAL_[True_True],W_NER_L_1_R_1_[O]_[O],""W_NER_L_1_R_2_[O]_[O LOCATION]"",BETW_[nn],BETW_L_[nn],BETW_D_[nn],W_LEMMA_L_1_R_1_[.]_[of],""W_NER_L_1_R_3_[O]_[O LOCATION O]"",""W_NER_L_2_R_1_[DURATION O]_[O]"",LENGTHS_[1_2],""W_NER_L_3_R_1_[DURATION DURATION O]_[O]"",""W_NER_L_2_R_3_[DURATION O]_[O LOCATION O]"",""W_NER_L_2_R_2_[DURATION O]_[O LOCATION]"",""W_LEMMA_L_1_R_3_[.]_[of Rutland forge]"",""W_LEMMA_L_2_R_3_[month .]_[of Rutland forge]"",""W_NER_L_3_R_2_[DURATION DURATION O]_[O LOCATION]"",""W_NER_L_3_R_3_[DURATION DURATION O]_[O LOCATION O]"",""W_LEMMA_L_3_R_1_[a month .]_[of]"",""W_LEMMA_L_2_R_2_[month .]_[of Rutland]"",""W_LEMMA_L_3_R_2_[a month .]_[of Rutland]"",""W_LEMMA_L_3_R_3_[a month .]_[of Rutland forge]"",""W_LEMMA_L_1_R_2_[.]_[of Rutland]"",""W_LEMMA_L_2_R_1_[month .]_[of]""}","{2.9128,-2.48631,1.97968,1.94885,1.94885,-1.87337,-0.692339,-0.294556,-0.224301,-0.224301,-0.224301,0.14441,-0.123808,-0.113372,-0.108682,0.0945285,-0.00165018,-0.00165018,0,0,0,0,0,0,0,0,0,0}"
ade4f6ac-8b1b-4330-9a12-69b9f002ce94_179_8_8,ade4f6ac-8b1b-4330-9a12-69b9f002ce94_179_10_11,ade4f6ac-8b1b-4330-9a12-69b9f002ce94,179,,0.974,"{When,the,bandit,rabble,start,shooting,and,LQ,Jones,and,James,Coburn,are,firing,at,each,other,"","",there,she,is,"","",letting,one,of,them,have,it,with,both,barrels,"","",dressed,in,her,man,'s,vest,and,hat,"","",then,she,methodically,reloads,.}",Jones,8,8,James Coburn,10,11,"{NER_SEQ_[O],NGRAM_1_[and],POS_SEQ_[CC],WORD_SEQ_[and],LEMMA_SEQ_[and],STARTS_WITH_CAPITAL_[True_True],W_NER_L_1_R_1_[O]_[O],""BETW_L_[conj_and conj_and]"",""W_NER_L_1_R_3_[O]_[O O O]"",""W_NER_L_2_R_1_[O O]_[O]"",""W_NER_L_3_R_1_[O O O]_[O]"",LENGTHS_[1_2],""W_NER_L_3_R_3_[O O O]_[O O O]"",""W_NER_L_2_R_2_[O O]_[O O]"",""W_NER_L_3_R_2_[O O O]_[O O]"",""W_NER_L_2_R_3_[O O]_[O O O]"",""W_NER_L_1_R_2_[O]_[O O]"",""W_LEMMA_L_3_R_1_[shooting and lq]_[be]"",""W_LEMMA_L_3_R_2_[shooting and lq]_[be firing]"",""W_LEMMA_L_1_R_3_[lq]_[be firing at]"",""W_LEMMA_L_3_R_3_[shooting and lq]_[be firing at]"",W_LEMMA_L_1_R_1_[lq]_[be],""W_LEMMA_L_2_R_3_[and lq]_[be firing at]"",""BETW_[conj_and shooting conj_and]"",""BETW_D_[conj_and shooting conj_and]"",""W_LEMMA_L_1_R_2_[lq]_[be firing]"",""W_LEMMA_L_2_R_2_[and lq]_[be firing]"",""W_LEMMA_L_2_R_1_[and lq]_[be]""}","{2.9128,-2.48631,1.97968,1.94885,1.94885,-1.87337,-0.692339,0.215372,0.159001,-0.144905,-0.141798,-0.108682,-0.0915892,0.0691858,0.0456837,0.0230933,-0.00337211,0,0,0,0,0,0,0,0,0,0,0}"
a7316029-bb3f-44c1-b240-80154e8f0020_14_9_9,a7316029-bb3f-44c1-b240-80154e8f0020_14_11_12,a7316029-bb3f-44c1-b240-80154e8f0020,14,,0.989,"{Their,guitarist,Ernest,was,busy,with,law,school,so,Jim,and,Manny,Tanglao,-LRB-,bassist,-RRB-,decided,to,start,something,new,.}",Jim,9,9,Manny Tanglao,11,12,"{NER_SEQ_[O],NGRAM_1_[and],POS_SEQ_[CC],LEMMA_SEQ_[and],WORD_SEQ_[and],STARTS_WITH_CAPITAL_[True_True],W_NER_L_1_R_1_[O]_[O],LENGTHS_[0_2],""W_NER_L_1_R_3_[O]_[O O O]"",""W_NER_L_2_R_1_[O O]_[O]"",""W_NER_L_3_R_1_[O O O]_[O]"",""W_NER_L_3_R_3_[O O O]_[O O O]"",""W_NER_L_2_R_2_[O O]_[O O]"",""W_NER_L_3_R_2_[O O O]_[O O]"",""W_NER_L_2_R_3_[O O]_[O O O]"",""W_NER_L_1_R_2_[O]_[O O]"",""BETW_L_[dep amod]"",W_LEMMA_L_1_R_1_[so]_[-lrb-],""W_LEMMA_L_3_R_3_[law school so]_[-lrb- bassist -rrb-]"",""W_LEMMA_L_3_R_1_[law school so]_[-lrb-]"",""BETW_D_[dep so amod]"",""W_LEMMA_L_2_R_1_[school so]_[-lrb-]"",""W_LEMMA_L_1_R_2_[so]_[-lrb- bassist]"",""W_LEMMA_L_3_R_2_[law school so]_[-lrb- bassist]"",""W_LEMMA_L_2_R_2_[school so]_[-lrb- bassist]"",""BETW_[dep so amod]"",""W_LEMMA_L_1_R_3_[so]_[-lrb- bassist -rrb-]"",""W_LEMMA_L_2_R_3_[school so]_[-lrb- bassist -rrb-]""}","{2.9128,-2.48631,1.97968,1.94885,1.94885,-1.87337,-0.692339,-0.369112,0.159001,-0.144905,-0.141798,-0.0915892,0.0691858,0.0456837,0.0230933,-0.00337211,-0.00237049,-0.000665671,0,0,0,0,0,0,0,0,0,0}"
d1c3e32b-feb7-4a3e-8c6a-67e7a9640150_2_11_11,d1c3e32b-feb7-4a3e-8c6a-67e7a9640150_2_13_14,d1c3e32b-feb7-4a3e-8c6a-67e7a9640150,2,,0.988,"{Lois,was,born,at,her,home,in,Curlew,"","",Iowa,to,Maynard,and,Elizabeth,Grossnickle,.}",Maynard,11,11,Elizabeth Grossnickle,13,14,"{NER_SEQ_[O],NGRAM_1_[and],POS_SEQ_[CC],LEMMA_SEQ_[and],WORD_SEQ_[and],STARTS_WITH_CAPITAL_[True_True],W_NER_L_1_R_1_[O]_[O],""W_NER_L_3_R_1_[O LOCATION O]_[O]"",BETW_D_[nn],BETW_[nn],BETW_L_[nn],LENGTHS_[1_4],""W_NER_L_2_R_1_[LOCATION O]_[O]"",W_LEMMA_L_1_R_1_[to]_[.],""W_LEMMA_L_3_R_1_[, Iowa to]_[.]"",""W_LEMMA_L_2_R_1_[Iowa to]_[.]""}","{2.9128,-2.48631,1.97968,1.94885,1.94885,-1.87337,-0.692339,0.306903,-0.224301,-0.224301,-0.224301,-0.194383,0.166371,0.114387,0,0}"
a677f026-a443-475c-b499-1985aa345733_83_12_13,a677f026-a443-475c-b499-1985aa345733_83_9_10,a677f026-a443-475c-b499-1985aa345733,83,,0.996,"{Besides,"","",the,Astros,',two,left-handed,starters,"","",Dallas,Keuchel,and,Scott,Kazmir,"","",both,are,effective,against,right-handed,hitters,.}",Scott Kazmir,12,13,Dallas Keuchel,9,10,"{INV_NER_SEQ_[O],INV_NGRAM_1_[and],INV_POS_SEQ_[CC],INV_WORD_SEQ_[and],INV_LEMMA_SEQ_[and],IS_INVERTED,INV_STARTS_WITH_CAPITAL_[True_True],""INV_W_LEMMA_L_1_R_1_[,]_[,]"",INV_BETW_D_[conj_and],INV_BETW_L_[conj_and],INV_BETW_[conj_and],INV_W_NER_L_1_R_1_[O]_[O],""INV_W_NER_L_1_R_3_[O]_[O O O]"",INV_LENGTHS_[2_2],""INV_W_NER_L_2_R_1_[O O]_[O]"",""INV_W_NER_L_3_R_3_[O O O]_[O O O]"",""INV_W_NER_L_2_R_2_[O O]_[O O]"",""INV_W_NER_L_1_R_2_[O]_[O O]"",""INV_W_NER_L_3_R_2_[O O O]_[O O]"",""INV_W_LEMMA_L_1_R_2_[,]_[, both]"",""INV_W_NER_L_2_R_3_[O O]_[O O O]"",""INV_W_NER_L_3_R_1_[O O O]_[O]"",""INV_W_LEMMA_L_1_R_3_[,]_[, both be]"",""INV_W_LEMMA_L_2_R_2_[starter ,]_[, both]"",""INV_W_LEMMA_L_3_R_2_[left-handed starter ,]_[, both]"",""INV_W_LEMMA_L_2_R_3_[starter ,]_[, both be]"",""INV_W_LEMMA_L_3_R_3_[left-handed starter ,]_[, both be]"",""INV_W_LEMMA_L_3_R_1_[left-handed starter ,]_[,]"",""INV_W_LEMMA_L_2_R_1_[starter ,]_[,]""}","{2.94252,-2.52698,2.01443,1.98219,1.98219,-1.41634,-0.949953,0.620401,0.334665,0.330707,0.324957,-0.282554,0.240517,0.219782,-0.181359,-0.156288,0.055645,-0.0407692,0.020562,-0.0141941,0.00925519,0.00138261,0,0,0,0,0,0,0}"
43f0bf56-d14e-40ad-a206-cfe8790b7bf0_3_2_2,43f0bf56-d14e-40ad-a206-cfe8790b7bf0_3_4_5,43f0bf56-d14e-40ad-a206-cfe8790b7bf0,3,,0.992,"{Share,link,Allison,and,Philip,Heathcote,.}",Allison,2,2,Philip Heathcote,4,5,"{NER_SEQ_[O],NGRAM_1_[and],POS_SEQ_[CC],LEMMA_SEQ_[and],WORD_SEQ_[and],STARTS_WITH_CAPITAL_[True_True],W_NER_L_1_R_1_[O]_[O],BETW_L_[conj_and],BETW_[conj_and],BETW_D_[conj_and],""W_NER_L_2_R_1_[O O]_[O]"",""W_NER_L_3_R_1_[O O O]_[O]"",LENGTHS_[1_3],""W_LEMMA_L_2_R_1_[share link]_[.]"",""W_LEMMA_L_3_R_1_[. share link]_[.]"",W_LEMMA_L_1_R_1_[link]_[.]}","{2.9128,-2.48631,1.97968,1.94885,1.94885,-1.87337,-0.692339,0.329788,0.325916,0.324841,-0.144905,-0.141798,0.0111369,0,0,0}"
d0b6b29f-f9a4-4a2e-aa7a-a0211b776dc0_18_21_21,d0b6b29f-f9a4-4a2e-aa7a-a0211b776dc0_18_5_6,d0b6b29f-f9a4-4a2e-aa7a-a0211b776dc0,18,,0.975,"{``,The,photos,of,Chief,Quanah,Parker,'s,wives,do,n't,mention,their,names,"","",but,rather,`,wife,of,Chief,Parker,"","",','',Hatfield,said,.}",Parker,21,21,Quanah Parker,5,6,"{INV_NGRAM_1_[wife],INV_NGRAM_1_[wife],""INV_NGRAM_1_[,]"",INV_NGRAM_1_['s],IS_INVERTED,INV_NGRAM_1_[they],""INV_NGRAM_2_[wife of]"",INV_NGRAM_1_[of],INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[`],INV_NGRAM_1_[name],INV_NGRAM_1_[but],INV_NGRAM_1_[not],INV_NGRAM_1_[Chief],INV_W_NER_L_1_R_1_[O]_[O],INV_NGRAM_1_[do],""INV_W_NER_L_1_R_3_[O]_[O O O]"",""INV_W_NER_L_2_R_1_[O O]_[O]"",INV_NGRAM_1_[rather],""INV_W_NER_L_3_R_3_[O O O]_[O O O]"",""INV_NGRAM_2_['s wife]"",""INV_NGRAM_2_[` wife]"",""INV_NER_SEQ_[O O O O O O O O O O O O O O]"",""INV_NGRAM_2_[they name]"",""INV_NGRAM_2_[do not]"",""INV_NGRAM_2_[, but]"",INV_NGRAM_1_[mention],""INV_NGRAM_2_[name ,]"",INV_LENGTHS_[1_2],""INV_NGRAM_3_[do not mention]"",""INV_NGRAM_2_[not mention]"",""INV_NGRAM_3_[, but rather]"",""INV_NGRAM_3_[not mention they]"",""INV_NGRAM_3_[rather ` wife]"",""INV_NGRAM_2_[mention they]"",""INV_NGRAM_3_[` wife of]"",""INV_NGRAM_3_[name , but]"",""INV_NGRAM_3_[mention they name]"",""INV_NGRAM_3_[they name ,]"",""INV_NGRAM_3_['s wife do]"",""INV_NGRAM_3_[but rather `]"",""INV_NGRAM_2_[rather `]"",""INV_NGRAM_2_[but rather]"",""INV_W_NER_L_2_R_2_[O O]_[O O]"",""INV_NGRAM_2_[of Chief]"",""INV_NGRAM_3_[wife of Chief]"",""INV_NGRAM_3_[wife do not]"",""INV_W_NER_L_1_R_2_[O]_[O O]"",""INV_NGRAM_2_[wife do]"",""INV_W_NER_L_3_R_2_[O O O]_[O O]"",""INV_W_NER_L_2_R_3_[O O]_[O O O]"",""INV_W_LEMMA_L_1_R_1_[Chief]_[,]"",""INV_W_NER_L_3_R_1_[O O O]_[O]"",""INV_W_LEMMA_L_3_R_1_[photo of Chief]_[,]"",""INV_POS_SEQ_[POS NNS VBP RB VB PRP$ NNS , CC RB `` NN IN NNP]"",""INV_BETW_L_[prep_of nsubj conj_but nsubj prep_of poss]"",""INV_LEMMA_SEQ_['s wife do not mention they name , but rather ` wife of Chief]"",""INV_W_LEMMA_L_2_R_3_[of Chief]_[, ' '']"",""INV_W_LEMMA_L_1_R_3_[Chief]_[, ' '']"",""INV_WORD_SEQ_['s wives do n't mention their names , but rather ` wife of Chief]"",""INV_W_LEMMA_L_2_R_1_[of Chief]_[,]"",""INV_W_LEMMA_L_3_R_3_[photo of Chief]_[, ' '']"",""INV_BETW_D_[prep_of wife nsubj say conj_but mention nsubj photo prep_of wife poss]"",""INV_W_LEMMA_L_1_R_2_[Chief]_[, ']"",""INV_W_LEMMA_L_2_R_2_[of Chief]_[, ']"",""INV_W_LEMMA_L_3_R_2_[photo of Chief]_[, ']"",""INV_BETW_[prep_of wife nsubj say conj_but mention nsubj photo prep_of wife poss]""}","{7.51637,7.51637,-2.07326,-2.05381,-1.41634,-1.34124,1.32589,-1.29876,-0.949953,-0.801451,-0.762944,-0.590765,-0.501384,-0.324494,-0.282554,-0.26834,0.240517,-0.181359,-0.17859,-0.156288,0.149412,-0.135383,0.127107,-0.106999,0.098196,0.0914951,-0.0836765,-0.062426,-0.0594608,-0.0591792,-0.0591792,-0.0591792,-0.0591792,-0.0591792,-0.0591792,-0.0591792,-0.0591792,-0.0591792,-0.0591792,-0.0591792,-0.0591792,-0.0591792,-0.0591792,0.055645,-0.0537655,-0.0515133,-0.0473573,-0.0407692,-0.0398388,0.020562,0.00925519,-0.00746795,0.00138261,0,0,0,0,0,0,0,0,0,0,0,0,0,0}"
eaa2d1de-2a24-4633-8e37-17467b712ae1_51_6_6,eaa2d1de-2a24-4633-8e37-17467b712ae1_51_8_9,eaa2d1de-2a24-4633-8e37-17467b712ae1,51,,0.956,"{Some,of,his,toughest,rivals,-,Montoya,"","",Tony,Kanaan,and,Helio,Castroneves,-,all,turn,41,this,year,so,Dixon,'s,the,young,pup,comparatively,.}",Montoya,6,6,Tony Kanaan,8,9,"{NER_SEQ_[O],""NGRAM_1_[,]"",STARTS_WITH_CAPITAL_[True_True],""POS_SEQ_[,]"",""LEMMA_SEQ_[,]"",""WORD_SEQ_[,]"",W_NER_L_1_R_1_[O]_[O],BETW_L_[conj_and],BETW_[conj_and],BETW_D_[conj_and],""W_NER_L_2_R_1_[O O]_[O]"",""W_NER_L_3_R_1_[O O O]_[O]"",""W_NER_L_3_R_2_[O O O]_[O PERSON]"",""W_NER_L_1_R_2_[O]_[O PERSON]"",LENGTHS_[1_2],""W_NER_L_2_R_3_[O O]_[O PERSON PERSON]"",""W_NER_L_3_R_3_[O O O]_[O PERSON PERSON]"",""W_NER_L_2_R_2_[O O]_[O PERSON]"",""W_NER_L_1_R_3_[O]_[O PERSON PERSON]"",W_LEMMA_L_1_R_1_[-]_[and],""W_LEMMA_L_1_R_2_[-]_[and Helio]"",""W_LEMMA_L_2_R_2_[rival -]_[and Helio]"",""W_LEMMA_L_3_R_3_[toughest rival -]_[and Helio Castroneves]"",""W_LEMMA_L_2_R_1_[rival -]_[and]"",""W_LEMMA_L_3_R_2_[toughest rival -]_[and Helio]"",""W_LEMMA_L_3_R_1_[toughest rival -]_[and]"",""W_LEMMA_L_2_R_3_[rival -]_[and Helio Castroneves]"",""W_LEMMA_L_1_R_3_[-]_[and Helio Castroneves]""}","{2.9128,-2.0591,-1.87337,0.799292,0.799292,0.799292,-0.692339,0.329788,0.325916,0.324841,-0.144905,-0.141798,0.117988,-0.112045,-0.108682,-0.101278,0.0850715,-0.0516081,-0.0201888,-0.00585824,0,0,0,0,0,0,0,0}"
