relation_id,feature
APW_ENG_20080808.0974.LDC2009T13_445_16-APW_ENG_20080808.0974.LDC2009T13_445_36,word_between=grandson
eng-WL-110-174612-12992520_129_60-eng-WL-110-174612-12992520_129_68,"word_between=,"
NYT_ENG_20070517.0101.LDC2009T13_1080_91-NYT_ENG_20070517.0101.LDC2009T13_1080_11,word_between=Idle
AFP_ENG_20081016.0468.LDC2009T13_125_29-AFP_ENG_20081016.0468.LDC2009T13_125_5,word_between=Russia
APW_ENG_20070930.0719.LDC2009T13_444_18-APW_ENG_20070930.0719.LDC2009T13_444_37,word_between=son
10726@58_22-10726@58_62,word_between=``
NYT_ENG_20080320.0165.LDC2009T13_843_37-NYT_ENG_20080320.0165.LDC2009T13_843_16,word_between=''
eng-WL-11-174588-12938657_2276_6-eng-WL-11-174588-12938657_2276_24,word_between=relationship
NYT_ENG_20070308.0095.LDC2009T13_859_53-NYT_ENG_20070308.0095.LDC2009T13_859_12,word_between=Hoy
NYT_ENG_20070515.0133.LDC2009T13_1666_17-NYT_ENG_20070515.0133.LDC2009T13_1666_62,word_between=Legally
32186@38_73-32186@38_9,word_between=Elfman
AFP_ENG_20070918.0078.LDC2009T13_58_46-AFP_ENG_20070918.0078.LDC2009T13_58_19,word_between=-
eng-NG-31-141957-9979203_18_19-eng-NG-31-141957-9979203_18_3,word_between=back
154431@2_111-154431@2_191,word_between=Tash
1405@12_2-1405@12_18,word_between=speaker
eng-WL-110-174612-12992620_141_50-eng-WL-110-174612-12992620_141_76,word_between=Alexander
61971@6_2-61971@6_35,word_between=for
AFP_ENG_20070315.0377.LDC2009T13_74_35-AFP_ENG_20070315.0377.LDC2009T13_74_11,word_between=Eoin
NYT_ENG_20080225.0168.LDC2009T13_544_8-NYT_ENG_20080225.0168.LDC2009T13_544_10,word_between=and
APW_ENG_20080815.0339.LDC2009T13_244_17-APW_ENG_20080815.0339.LDC2009T13_244_38,word_between=Marsh
NYT_ENG_20080130.0121.LDC2009T13_569_26-NYT_ENG_20080130.0121.LDC2009T13_569_2,word_between=the
NYT_ENG_20081204.0117.LDC2009T13_623_44-NYT_ENG_20081204.0117.LDC2009T13_623_2,"word_between=,"
AFP_ENG_20070222.0394.LDC2009T13_233_51-AFP_ENG_20070222.0394.LDC2009T13_233_13,word_between=Biarritz\/FRA
LTW_ENG_20080204.0044.LDC2009T13_195_28-LTW_ENG_20080204.0044.LDC2009T13_195_24,"word_between=,"
NYT_ENG_20070602.0029.LDC2009T13_76_46-NYT_ENG_20070602.0029.LDC2009T13_76_0,word_between=him
LTW_ENG_20070819.0024.LDC2009T13_2059_55-LTW_ENG_20070819.0024.LDC2009T13_2059_37,word_between=-RRB-
LTW_ENG_20070719.0072.LDC2009T13_339_5-LTW_ENG_20070719.0072.LDC2009T13_339_70,word_between=Hadley
APW_ENG_20081223.0128.LDC2009T13_267_6-APW_ENG_20081223.0128.LDC2009T13_267_15,word_between=son
APW_ENG_20070916.0510.LDC2009T13_167_44-APW_ENG_20070916.0510.LDC2009T13_167_2,word_between=Allister
APW_ENG_20070815.0838.LDC2009T13_792_36-APW_ENG_20070815.0838.LDC2009T13_792_87,word_between=Ongaro
LTW_ENG_20081203.0075.LDC2009T13_535_32-LTW_ENG_20081203.0075.LDC2009T13_535_53,word_between=Malick
NYT_ENG_20080131.0284.LDC2009T13_607_30-NYT_ENG_20080131.0284.LDC2009T13_607_2,word_between=English
eng-WL-110-174612-12991874_70_39-eng-WL-110-174612-12991874_70_83,word_between=Raymond
34215@40_59-34215@40_29,word_between=Fields
eng-WL-110-174612-12991749_58_62-eng-WL-110-174612-12991749_58_150,word_between=Amanda
eng-WL-11-174588-12938603_2817_40-eng-WL-11-174588-12938603_2817_8,word_between=visit
eng-NG-31-102460-10983987_18_54-eng-NG-31-102460-10983987_18_24,word_between=Justin
eng-WL-11-174611-12981263_315_16-eng-WL-11-174611-12981263_315_1,word_between=via
APW_ENG_20080213.0279.LDC2009T13_21_9-APW_ENG_20080213.0279.LDC2009T13_21_15,word_between=Chapman
