s?	Bl
?hai??hXx~?"Six'h4h:Xxei~'	~
~	o
~~?>:E~E?,s~>(~4~?	*
??'	Elh
s	U
"	L
;	s
t	?
s>e>tnt	ED
htt://dx.doi.or/10.1671/0272-463420	http://dX.doi.org/10.167l/0272?4634
0	(
0020	2000
0	)
784	020
MSDT	0784
C	:
F2.0.C	MSDTCF
O	]
2	2.0
htt://www.bioone.or/doi/full/10.1671/0272-4634%282000%29020%580784%3AMSDTCF	http://WWW.bioone.org/doi/full/l0.1671/0272-4634%282000%29020%5B0784%3AMSDTCF
382	3B2
Bioone	BioOne
Bioone	BioOne
Bioone	BioOne
's	?s
www.bioone.or/ae/terms	www.bioone.org/page/terms
Bioone	BioOne
Bioone	BioOne
su,>>ainable	sustainable
soho>iarly	scholarly
publishir>g	publishing
sn	an
inherentiy	inherently
coliaboradve	collaborative
enierp>-use	enterprise
connect!a??>	connecting
auth?or	authors
s,	,
nonprofh	nonprofit
pubiishers	publishers
acaden>ic	academic
ins''itution	institutions
s,	,
:res?-atrch	research
l;inaries	libraries
r?s?car?rn	research
panders	funders
rn	in
cornnaon	common
??aal	goal
rnaaunrarng	maximizing
acc?-..?s	access
>o	to
c?:n?ral	critical
??7	787
87,	,
'S	?S
0-30	0300
0	?
-0820	08208
8	?
-8	8
first	?rst
's	?s
Di-nosaurs	Dinosaurs
first	?rst
scientific	scienti?c
??written	written
's	?s
's	?s
Corno	Como
influence	in?uence
's	?s
Corno	Como
first	?rst
gI.andis	grcmdis
Paleontolog-ical	Paleontological
il-lustrations	illustrations
Paleontol-ogist	Paleontologist
's	?s
's	?s
scientific	scienti?c
figures	?gures
n't	n?t
1890	l890
fi	?g
g.	.
's	?s
's	?s
re-printing	reprinting
n't	n?t
illus-trate	illustrated
d,	,
poor.	poor
's	?s
orig-ina	original
l.	.
bind-ing	binding
Corno	Como
's	?s
McIntosh	Mclntosh
Geo-logical	Geological
109:1???1	10921-163
63.	.
fig	?gs
s,	,
cor	com
n-	?
's	?s
high-BOOK	highBOOK
REUIEWS	REVIEWS
sym-metrodonts	symmetrodonts
var-iously	variously
condi-tions	conditions
's	?s
eupan-tothere	eupantotheres
s.	.
taxo-nomic	taxonomic
defined	de?ned
single-cusped	singlecusped
longest-lived	longestlived
hol-otherians	holotherians
de-veloped	developed
definitely	de?nitely
tribos-phenic	tribosphenic
Eng-lan	England
d;	;
Uni-versity	University
1952???1962	1952-1962
1973???19	1973-1982
82.	.
Gui-marota	Guimarota
's	?s
eupan-tothere	eupantotheres
s	?
juve-nile	juveniles
s,	,
Mor-rison	Morrison
Eu-ropean	European
specifically	speci?cally
dryoles-tid	dryolestids
s,	,
lei-riensi	leiriensis
s,	,
Gui-marot	Guimarota
a.	.
inPatus	in?atus
re-vision	revision
Herpe-tairus	Herpetairus
rep-resents	represents
coloradensis;	coloradensisg
os-borni	osborni
observa-tio	observation
n,	,
definition	de?nition
distin-guished	distinguished
's	?s
geo-logic	geologic
flawed	?awed
paleon-tological	paleontological
specific	speci?c
discus-sions	discussions
I5	IS
reflecting	re?ecting
Good-quality	Goodquality
micro-scopi	microscopic
c,	,
p	?
h	.
otography,	photography
high-resolution	highresolution
micro-radiograph	microradiography
y.	.
figures	?gures
use-ful	useful
length:width	lengthzwidth
defined	de?ned
Reflex	Re?ex
ex-ampl	example
e,	,
definite	de?nite
Dry-olestes	Dryolestes
man-dibles	mandibles
defining	de?ning
first	?rst
NO.	No.
pos-sible	possible
confident	con?dent
an-teroposterior	anteroposterior
sec-ondary	secondary
char-acters	characters
Am-phitherium-like	Amphitherium-like
informa-tion	information
Dry-olestes	Dryolestes
leiI.iensi	leiriensis
s.	.
IS/4	I5/4
C1	Cl
?	8
?8/	/
8??	8-9
?9.	.
in-creased	increased
first	?rst
's	?s
inter-pretation	interpretation
N	?
o	.
rth	North
bio-geography	biogeography
