relation_id,feature
APW_ENG_20070320.0692.LDC2009T13_632_2-APW_ENG_20070320.0692.LDC2009T13_632_24,word_between=than
APW_ENG_20070810.1505.LDC2009T13_282_6-APW_ENG_20070810.1505.LDC2009T13_282_19,word_between=Truex
NYT_ENG_20081230.0082.LDC2009T13_1350_26-NYT_ENG_20081230.0082.LDC2009T13_1350_47,word_between=Wasikowska
APW_ENG_20070927.0999.LDC2009T13_583_20-APW_ENG_20070927.0999.LDC2009T13_583_5,word_between=Parks
APW_ENG_20081111.0086.LDC2009T13_660_37-APW_ENG_20081111.0086.LDC2009T13_660_48,word_between=their
NYT_ENG_20070816.0130.LDC2009T13_885_70-NYT_ENG_20070816.0130.LDC2009T13_885_38,word_between=Peter
154431@2_156-154431@2_71,word_between=Debbie
NYT_ENG_20070802.0142.LDC2009T13_993_20-NYT_ENG_20070802.0142.LDC2009T13_993_55,word_between=Cromwell
LTW_ENG_20081203.0075.LDC2009T13_535_50-LTW_ENG_20081203.0075.LDC2009T13_535_72,word_between=Cook
34215@40_120-34215@40_59,word_between=E.Y.
34215@40_135-34215@40_44,word_between=Fields
eng-WL-110-174612-12993825_103_84-eng-WL-110-174612-12993825_103_25,word_between=Alicia
51347@4_2-51347@4_0,potential_last_name_match
NYT_ENG_20070816.0130.LDC2009T13_885_8-NYT_ENG_20070816.0130.LDC2009T13_885_56,"word_between=,"
APW_ENG_20070409.1106.LDC2009T13_307_0-APW_ENG_20070409.1106.LDC2009T13_307_21,word_between=three
149761@34_9-149761@34_34,word_between=Joe
eng-NG-31-142495-10047384_735_11-eng-NG-31-142495-10047384_735_16,"word_between=,"
AFP_ENG_20080130.0773.LDC2009T13_385_11-AFP_ENG_20080130.0773.LDC2009T13_385_35,word_between=Nathan
LTW_ENG_20070419.0059.LDC2009T13_482_21-LTW_ENG_20070419.0059.LDC2009T13_482_3,word_between=Sedaka
APW_ENG_20070323.1401.LDC2009T13_881_41-APW_ENG_20070323.1401.LDC2009T13_881_35,word_between=Ongondo
APW_ENG_20070508.1278.LDC2009T13_254_7-APW_ENG_20070508.1278.LDC2009T13_254_35,word_between=Green
64529@80_15-64529@80_60,word_between=when
eng-NG-31-143202-10159272_80_6-eng-NG-31-143202-10159272_80_41,"word_between=,"
AFP_ENG_20070427.0431.LDC2009T13_282_23-AFP_ENG_20070427.0431.LDC2009T13_282_0,word_between=Secretary
AFP_ENG_20070918.0078.LDC2009T13_58_66-AFP_ENG_20070918.0078.LDC2009T13_58_19,word_between=Allister
APW_ENG_20071025.0526.LDC2009T13_106_52-APW_ENG_20071025.0526.LDC2009T13_106_0,word_between=Politkovskaya
APW_ENG_20070828.0077.LDC2009T13_794_70-APW_ENG_20070828.0077.LDC2009T13_794_39,word_between=Bergamasco
LTW_ENG_20081219.0132.LDC2009T13_2439_27-LTW_ENG_20081219.0132.LDC2009T13_2439_7,word_between=grandchildren
133262@54_29-133262@54_21,word_between=fire
89851@10_9-89851@10_1,word_between=one
145852@28_19-145852@28_2,word_between=in
APW_ENG_20070911.0618.LDC2009T13_650_14-APW_ENG_20070911.0618.LDC2009T13_650_2,word_between=Canale
APW_ENG_20070114.0222.LDC2009T13_183_58-APW_ENG_20070114.0222.LDC2009T13_183_10,word_between=Stephen
99151@2_19-99151@2_46,word_between=largest
APW_ENG_20080916.0404.LDC2009T13_435_25-APW_ENG_20080916.0404.LDC2009T13_435_0,word_between=Ronald
34215@40_123-34215@40_32,word_between=Leonard
132171@40_40-132171@40_16,word_between=Carter
XIN_ENG_20080901.0159.LDC2009T13_344_48-XIN_ENG_20080901.0159.LDC2009T13_344_34,word_between=Down
AFP_ENG_20070216.0332.LDC2009T13_811_37-AFP_ENG_20070216.0332.LDC2009T13_811_31,word_between=Eoin
eng-WL-110-174612-12994025_83_55-eng-WL-110-174612-12994025_83_11,word_between=Beyonce
47550@51_65-47550@51_10,word_between=his
APW_ENG_20071004.0012.LDC2009T13_17_35-APW_ENG_20071004.0012.LDC2009T13_17_6,word_between=custody
AFP_ENG_20071024.0334.LDC2009T13_402_10-AFP_ENG_20071024.0334.LDC2009T13_402_0,num_words_between=8
154431@1_120-154431@1_69,word_between=George
APW_ENG_20070815.0838.LDC2009T13_1464_81-APW_ENG_20070815.0838.LDC2009T13_1464_26,word_between=Jason
eng-WL-11-174598-12966635_1725_25-eng-WL-11-174598-12966635_1725_9,word_between=the
16149@9_6-16149@9_36,word_between=the
107943@23_32-107943@23_1,num_words_between=30
NYT_ENG_20080116.0140.LDC2009T13_651_17-NYT_ENG_20080116.0140.LDC2009T13_651_1,word_between=a
APW_ENG_20070101.0748.LDC2009T13_171_32-APW_ENG_20070101.0748.LDC2009T13_171_9,word_between=Vettori
154431@0_17-154431@0_2,word_between=Tampa
