person1_id,person2_id,sentence_id,description,is_true,relation_id,id
eng-WL-11-174572-12948745_25_13,eng-WL-11-174572-12948745_25_7,eng-WL-11-174572-12948745_25,Patricia Wettig-Ken Olin,t,eng-WL-11-174572-12948745_25_13-eng-WL-11-174572-12948745_25_7,263149
AFP_ENG_20070827.0193.LDC2009T13_342_7,AFP_ENG_20070827.0193.LDC2009T13_342_10,AFP_ENG_20070827.0193.LDC2009T13_342,Tekkan Yosano-Akiko Yosano,t,AFP_ENG_20070827.0193.LDC2009T13_342_7-AFP_ENG_20070827.0193.LDC2009T13_342_10,82569
124725@2_7,124725@2_34,124725@2,Bob Fosse-Ann Reinking,t,124725@2_7-124725@2_34,98841
eng-NG-31-146450-10408799_15_0,eng-NG-31-146450-10408799_15_3,eng-NG-31-146450-10408799_15,shane deary-keri russell,t,eng-NG-31-146450-10408799_15_0-eng-NG-31-146450-10408799_15_3,128363
136654@3_33,136654@3_12,136654@3,Cindy McCain-John McCain,t,136654@3_33-136654@3_12,274472
APW_ENG_20081031.0657.LDC2009T13_19_22,APW_ENG_20081031.0657.LDC2009T13_19_2,APW_ENG_20081031.0657.LDC2009T13_19,David Beckham-Victoria Beckham,t,APW_ENG_20081031.0657.LDC2009T13_19_22-APW_ENG_20081031.0657.LDC2009T13_19_2,259387
NYT_ENG_20080904.0078.LDC2009T13_320_7,NYT_ENG_20080904.0078.LDC2009T13_320_14,NYT_ENG_20080904.0078.LDC2009T13_320,Asif Ali Zardari-Benazir Bhutto,t,NYT_ENG_20080904.0078.LDC2009T13_320_7-NYT_ENG_20080904.0078.LDC2009T13_320_14,175400
LTW_ENG_20071024.0150.LDC2009T13_385_38,LTW_ENG_20071024.0150.LDC2009T13_385_30,LTW_ENG_20071024.0150.LDC2009T13_385,John McCain-Cindy McCain,t,LTW_ENG_20071024.0150.LDC2009T13_385_38-LTW_ENG_20071024.0150.LDC2009T13_385_30,167496
eng-WL-11-174572-12946122_0_3,eng-WL-11-174572-12946122_0_0,eng-WL-11-174572-12946122_0,Spencer Pratt-Heidi Montag,t,eng-WL-11-174572-12946122_0_3-eng-WL-11-174572-12946122_0_0,148657
APW_ENG_20080707.0565.LDC2009T13_40_16,APW_ENG_20080707.0565.LDC2009T13_40_23,APW_ENG_20080707.0565.LDC2009T13_40,Keith Urban-Nicole Kidman,t,APW_ENG_20080707.0565.LDC2009T13_40_16-APW_ENG_20080707.0565.LDC2009T13_40_23,148746
eng-WL-11-174592-12942970_14_39,eng-WL-11-174592-12942970_14_42,eng-WL-11-174592-12942970_14,Madonna-Guy Ritchie,t,eng-WL-11-174592-12942970_14_39-eng-WL-11-174592-12942970_14_42,169289
LTW_ENG_20070314.0099.LDC2009T13_9_28,LTW_ENG_20070314.0099.LDC2009T13_9_8,LTW_ENG_20070314.0099.LDC2009T13_9,Anna Nicole Smith-Howard K. Stern,t,LTW_ENG_20070314.0099.LDC2009T13_9_28-LTW_ENG_20070314.0099.LDC2009T13_9_8,112619
APW_ENG_20080311.1221.LDC2009T13_840_39,APW_ENG_20080311.1221.LDC2009T13_840_29,APW_ENG_20080311.1221.LDC2009T13_840,Benazir Bhutto-Asif Ali Zardari,t,APW_ENG_20080311.1221.LDC2009T13_840_39-APW_ENG_20080311.1221.LDC2009T13_840_29,65940
6854@21_2,6854@21_35,6854@21,Elizabeth Dole-Bob Dole,t,6854@21_2-6854@21_35,81276
APW_ENG_20070109.1303.LDC2009T13_20_0,APW_ENG_20070109.1303.LDC2009T13_20_4,APW_ENG_20070109.1303.LDC2009T13_20,Alan Cumming-Grant Shaffer,t,APW_ENG_20070109.1303.LDC2009T13_20_0-APW_ENG_20070109.1303.LDC2009T13_20_4,63209
NYT_ENG_20080207.0050.LDC2009T13_11_22,NYT_ENG_20080207.0050.LDC2009T13_11_0,NYT_ENG_20080207.0050.LDC2009T13_11,Norman Vincent Peale-Ruth Stafford Peale,t,NYT_ENG_20080207.0050.LDC2009T13_11_22-NYT_ENG_20080207.0050.LDC2009T13_11_0,269732
APW_ENG_20080105.0075.LDC2009T13_18_25,APW_ENG_20080105.0075.LDC2009T13_18_0,APW_ENG_20080105.0075.LDC2009T13_18,Kevin Federline-Britney Spears,t,APW_ENG_20080105.0075.LDC2009T13_18_25-APW_ENG_20080105.0075.LDC2009T13_18_0,183805
AFP_ENG_20081121.0027.LDC2009T13_152_15,AFP_ENG_20081121.0027.LDC2009T13_152_5,AFP_ENG_20081121.0027.LDC2009T13_152,Alan Greenspan-Andrea Mitchell,t,AFP_ENG_20081121.0027.LDC2009T13_152_15-AFP_ENG_20081121.0027.LDC2009T13_152_5,47597
NYT_ENG_20070718.0111.LDC2009T13_8_7,NYT_ENG_20070718.0111.LDC2009T13_8_0,NYT_ENG_20070718.0111.LDC2009T13_8,Tony Parker-Eva Longoria,t,NYT_ENG_20070718.0111.LDC2009T13_8_7-NYT_ENG_20070718.0111.LDC2009T13_8_0,113637
eng-WL-107-174567-12933473_10_4,eng-WL-107-174567-12933473_10_12,eng-WL-107-174567-12933473_10,Jessica Biel-Justin Timberlake,t,eng-WL-107-174567-12933473_10_4-eng-WL-107-174567-12933473_10_12,263365
NYT_ENG_20070221.0287.LDC2009T13_764_25,NYT_ENG_20070221.0287.LDC2009T13_764_19,NYT_ENG_20070221.0287.LDC2009T13_764,Danny Huston-Virginia Madsen,t,NYT_ENG_20070221.0287.LDC2009T13_764_25-NYT_ENG_20070221.0287.LDC2009T13_764_19,271590
LTW_ENG_20070609.0071.LDC2009T13_9_4,LTW_ENG_20070609.0071.LDC2009T13_9_33,LTW_ENG_20070609.0071.LDC2009T13_9,Mark V. Olsen-Will Scheffer,t,LTW_ENG_20070609.0071.LDC2009T13_9_4-LTW_ENG_20070609.0071.LDC2009T13_9_33,213465
eng-NG-31-141960-9983939_11_10,eng-NG-31-141960-9983939_11_15,eng-NG-31-141960-9983939_11,Paul McCartney-Heather Mills,t,eng-NG-31-141960-9983939_11_10-eng-NG-31-141960-9983939_11_15,110572
AFP_ENG_20080311.0398.LDC2009T13_442_31,AFP_ENG_20080311.0398.LDC2009T13_442_21,AFP_ENG_20080311.0398.LDC2009T13_442,Benazir Bhutto-Asif Ali Zardari,t,AFP_ENG_20080311.0398.LDC2009T13_442_31-AFP_ENG_20080311.0398.LDC2009T13_442_21,47031
APW_ENG_20080828.1028.LDC2009T13_19_12,APW_ENG_20080828.1028.LDC2009T13_19_0,APW_ENG_20080828.1028.LDC2009T13_19,John McCain-Cindy McCain,t,APW_ENG_20080828.1028.LDC2009T13_19_12-APW_ENG_20080828.1028.LDC2009T13_19_0,224172
NYT_ENG_20071208.0055.LDC2009T13_783_27,NYT_ENG_20071208.0055.LDC2009T13_783_13,NYT_ENG_20071208.0055.LDC2009T13_783,Barbara Gelb-Arthur Gelb,t,NYT_ENG_20071208.0055.LDC2009T13_783_27-NYT_ENG_20071208.0055.LDC2009T13_783_13,270038
eng-WL-107-174567-12933668_61_31,eng-WL-107-174567-12933668_61_28,eng-WL-107-174567-12933668_61,Ben Affleck-Jennifer Garner,t,eng-WL-107-174567-12933668_61_31-eng-WL-107-174567-12933668_61_28,151316
93681@30_30,93681@30_2,93681@30,Sophia Bush-Chad Michael Murray,t,93681@30_30-93681@30_2,120628
eng-NG-31-130873-12107057_386_52,eng-NG-31-130873-12107057_386_49,eng-NG-31-130873-12107057_386,Sonia Gandhi-Rajiv Gandhi,t,eng-NG-31-130873-12107057_386_52-eng-NG-31-130873-12107057_386_49,207742
LTW_ENG_20070324.0124.LDC2009T13_726_14,LTW_ENG_20070324.0124.LDC2009T13_726_20,LTW_ENG_20070324.0124.LDC2009T13_726,Phillip Burton-Sala Burton,t,LTW_ENG_20070324.0124.LDC2009T13_726_14-LTW_ENG_20070324.0124.LDC2009T13_726_20,289946
eng-WL-110-174612-12992321_9_11,eng-WL-110-174612-12992321_9_5,eng-WL-110-174612-12992321_9,Jason Rae-Corinne Bailey Rae,t,eng-WL-110-174612-12992321_9_11-eng-WL-110-174612-12992321_9_5,129433
APW_ENG_20070323.0488.LDC2009T13_30_0,APW_ENG_20070323.0488.LDC2009T13_30_3,APW_ENG_20070323.0488.LDC2009T13_30,Albena Denkova-Maxim Staviski,t,APW_ENG_20070323.0488.LDC2009T13_30_0-APW_ENG_20070323.0488.LDC2009T13_30_3,259820
eng-WL-11-174595-12967642_1012_7,eng-WL-11-174595-12967642_1012_10,eng-WL-11-174595-12967642_1012,Jennifer Lopez-Marc Anthony,t,eng-WL-11-174595-12967642_1012_7-eng-WL-11-174595-12967642_1012_10,73190
