person1_id,person2_id,sentence_id,description,is_true,relation_id,id
AFP_ENG_20080419.0220.LDC2009T13_222_11,AFP_ENG_20080419.0220.LDC2009T13_222_17,AFP_ENG_20080419.0220.LDC2009T13_222,Mark Hughes-Alex Ferguson,f,AFP_ENG_20080419.0220.LDC2009T13_222_11-AFP_ENG_20080419.0220.LDC2009T13_222_17,507225
APW_ENG_20070829.0045.LDC2009T13_229_17,APW_ENG_20070829.0045.LDC2009T13_229_20,APW_ENG_20070829.0045.LDC2009T13_229,Adrien Brody-Jason Schwartzman,f,APW_ENG_20070829.0045.LDC2009T13_229_17-APW_ENG_20070829.0045.LDC2009T13_229_20,160603
NYT_ENG_20070330.0046.LDC2009T13_902_3,NYT_ENG_20070330.0046.LDC2009T13_902_25,NYT_ENG_20070330.0046.LDC2009T13_902,Anne Boleyn-Neill,f,NYT_ENG_20070330.0046.LDC2009T13_902_3-NYT_ENG_20070330.0046.LDC2009T13_902_25,338331
APW_ENG_20080925.1258.LDC2009T13_174_5,APW_ENG_20080925.1258.LDC2009T13_174_49,APW_ENG_20080925.1258.LDC2009T13_174,Thomas-Burton,f,APW_ENG_20080925.1258.LDC2009T13_174_5-APW_ENG_20080925.1258.LDC2009T13_174_49,74383
AFP_ENG_20070427.0098.LDC2009T13_155_29,AFP_ENG_20070427.0098.LDC2009T13_155_17,AFP_ENG_20070427.0098.LDC2009T13_155,Jennifer Lopez-Scarlett Johansson,f,AFP_ENG_20070427.0098.LDC2009T13_155_29-AFP_ENG_20070427.0098.LDC2009T13_155_17,114371
NYT_ENG_20081104.0175.LDC2009T13_168_52,NYT_ENG_20081104.0175.LDC2009T13_168_46,NYT_ENG_20081104.0175.LDC2009T13_168,Bill Clinton-John Kerry,f,NYT_ENG_20081104.0175.LDC2009T13_168_52-NYT_ENG_20081104.0175.LDC2009T13_168_46,52181
eng-WL-11-174611-12975343_139_44,eng-WL-11-174611-12975343_139_25,eng-WL-11-174611-12975343_139,Jackson-Jackson,f,eng-WL-11-174611-12975343_139_44-eng-WL-11-174611-12975343_139_25,372194
LTW_ENG_20070111.0086.LDC2009T13_143_26,LTW_ENG_20070111.0086.LDC2009T13_143_38,LTW_ENG_20070111.0086.LDC2009T13_143,Louis Malle-Jodie Foster,f,LTW_ENG_20070111.0086.LDC2009T13_143_26-LTW_ENG_20070111.0086.LDC2009T13_143_38,58674
NYT_ENG_20081220.0122.LDC2009T13_341_13,NYT_ENG_20081220.0122.LDC2009T13_341_7,NYT_ENG_20081220.0122.LDC2009T13_341,Man Ray-Max Ernst,f,NYT_ENG_20081220.0122.LDC2009T13_341_13-NYT_ENG_20081220.0122.LDC2009T13_341_7,488332
CNA_ENG_20071006.0022.LDC2009T13_162_20,CNA_ENG_20071006.0022.LDC2009T13_162_24,CNA_ENG_20071006.0022.LDC2009T13_162,Chao Chien-ming-Chen Shui-bian,f,CNA_ENG_20071006.0022.LDC2009T13_162_20-CNA_ENG_20071006.0022.LDC2009T13_162_24,197919
APW_ENG_20070506.0194.LDC2009T13_144_14,APW_ENG_20070506.0194.LDC2009T13_144_9,APW_ENG_20070506.0194.LDC2009T13_144,Frank Hsieh-Su Tseng-chang,f,APW_ENG_20070506.0194.LDC2009T13_144_14-APW_ENG_20070506.0194.LDC2009T13_144_9,93843
NYT_ENG_20081031.0144.LDC2009T13_11_1,NYT_ENG_20081031.0144.LDC2009T13_11_9,NYT_ENG_20081031.0144.LDC2009T13_11,John McCain-Arnold Schwarzenegger,f,NYT_ENG_20081031.0144.LDC2009T13_11_1-NYT_ENG_20081031.0144.LDC2009T13_11_9,172138
NYT_ENG_20070727.0176.LDC2009T13_265_20,NYT_ENG_20070727.0176.LDC2009T13_265_24,NYT_ENG_20070727.0176.LDC2009T13_265,Nancy Pelosi-Harry Reid,f,NYT_ENG_20070727.0176.LDC2009T13_265_20-NYT_ENG_20070727.0176.LDC2009T13_265_24,190069
LTW_ENG_20080829.0044.LDC2009T13_41_9,LTW_ENG_20080829.0044.LDC2009T13_41_38,LTW_ENG_20080829.0044.LDC2009T13_41,Avril Lavigne-Vanessa Carlton,f,LTW_ENG_20080829.0044.LDC2009T13_41_9-LTW_ENG_20080829.0044.LDC2009T13_41_38,63770
LTW_ENG_20080725.0072.LDC2009T13_853_12,LTW_ENG_20080725.0072.LDC2009T13_853_17,LTW_ENG_20080725.0072.LDC2009T13_853,Nouri al-Maliki-Gloria Borger,f,LTW_ENG_20080725.0072.LDC2009T13_853_12-LTW_ENG_20080725.0072.LDC2009T13_853_17,260746
CNA_ENG_20070507.0012.LDC2009T13_58_11,CNA_ENG_20070507.0012.LDC2009T13_58_50,CNA_ENG_20070507.0012.LDC2009T13_58,Su Tseng-chang-Chen Shui-bian,f,CNA_ENG_20070507.0012.LDC2009T13_58_11-CNA_ENG_20070507.0012.LDC2009T13_58_50,293916
AFP_ENG_20081211.0827.LDC2009T13_74_25,AFP_ENG_20081211.0827.LDC2009T13_74_16,AFP_ENG_20081211.0827.LDC2009T13_74,Elizabeth Taylor-Bob Hope,f,AFP_ENG_20081211.0827.LDC2009T13_74_25-AFP_ENG_20081211.0827.LDC2009T13_74_16,419493
NYT_ENG_20080101.0155.LDC2009T13_519_29,NYT_ENG_20080101.0155.LDC2009T13_519_27,NYT_ENG_20080101.0155.LDC2009T13_519,Maggie Smith-Shaw,f,NYT_ENG_20080101.0155.LDC2009T13_519_29-NYT_ENG_20080101.0155.LDC2009T13_519_27,368661
APW_ENG_20080221.0796.LDC2009T13_875_2,APW_ENG_20080221.0796.LDC2009T13_875_21,APW_ENG_20080221.0796.LDC2009T13_875,Julian Schnabel-Tony Gilroy,f,APW_ENG_20080221.0796.LDC2009T13_875_2-APW_ENG_20080221.0796.LDC2009T13_875_21,372347
LTW_ENG_20070217.0049.LDC2009T13_652_1,LTW_ENG_20070217.0049.LDC2009T13_652_7,LTW_ENG_20070217.0049.LDC2009T13_652,Brad Pitt-Catherine Keener,f,LTW_ENG_20070217.0049.LDC2009T13_652_1-LTW_ENG_20070217.0049.LDC2009T13_652_7,422907
NYT_ENG_20081219.0019.LDC2009T13_674_51,NYT_ENG_20081219.0019.LDC2009T13_674_17,NYT_ENG_20081219.0019.LDC2009T13_674,Stephon Marbury-Alex Rodriguez,f,NYT_ENG_20081219.0019.LDC2009T13_674_51-NYT_ENG_20081219.0019.LDC2009T13_674_17,198324
NYT_ENG_20071214.0126.LDC2009T13_347_35,NYT_ENG_20071214.0126.LDC2009T13_347_6,NYT_ENG_20071214.0126.LDC2009T13_347,Jones-Dennis Johnson,f,NYT_ENG_20071214.0126.LDC2009T13_347_35-NYT_ENG_20071214.0126.LDC2009T13_347_6,160567
NYT_ENG_20070123.0260.LDC2009T13_679_35,NYT_ENG_20070123.0260.LDC2009T13_679_50,NYT_ENG_20070123.0260.LDC2009T13_679,Royce Clayton-Mary Gordon,f,NYT_ENG_20070123.0260.LDC2009T13_679_35-NYT_ENG_20070123.0260.LDC2009T13_679_50,69125
LTW_ENG_20071207.0013.LDC2009T13_349_28,LTW_ENG_20071207.0013.LDC2009T13_349_34,LTW_ENG_20071207.0013.LDC2009T13_349,George Clooney-Matt Damon,f,LTW_ENG_20071207.0013.LDC2009T13_349_28-LTW_ENG_20071207.0013.LDC2009T13_349_34,434088
APW_ENG_20081030.0164.LDC2009T13_87_3,APW_ENG_20081030.0164.LDC2009T13_87_11,APW_ENG_20081030.0164.LDC2009T13_87,Matt Stajan-Jamal Mayers,f,APW_ENG_20081030.0164.LDC2009T13_87_3-APW_ENG_20081030.0164.LDC2009T13_87_11,163989
NYT_ENG_20080216.0098.LDC2009T13_677_23,NYT_ENG_20080216.0098.LDC2009T13_677_35,NYT_ENG_20080216.0098.LDC2009T13_677,Abbie Hoffman-Joan Baez,f,NYT_ENG_20080216.0098.LDC2009T13_677_23-NYT_ENG_20080216.0098.LDC2009T13_677_35,110416
APW_ENG_20070916.0069.LDC2009T13_494_0,APW_ENG_20070916.0069.LDC2009T13_494_13,APW_ENG_20070916.0069.LDC2009T13_494,David Murphy-Jarrod Saltalamacchia,f,APW_ENG_20070916.0069.LDC2009T13_494_0-APW_ENG_20070916.0069.LDC2009T13_494_13,369074
LTW_ENG_20081225.0071.LDC2009T13_1_11,LTW_ENG_20081225.0071.LDC2009T13_1_28,LTW_ENG_20081225.0071.LDC2009T13_1,Kate Hudson-Julia Roberts,f,LTW_ENG_20081225.0071.LDC2009T13_1_11-LTW_ENG_20081225.0071.LDC2009T13_1_28,21231
NYT_ENG_20071108.0115.LDC2009T13_817_6,NYT_ENG_20071108.0115.LDC2009T13_817_15,NYT_ENG_20071108.0115.LDC2009T13_817,Javier Bardem-Kelly Macdonald,f,NYT_ENG_20071108.0115.LDC2009T13_817_6-NYT_ENG_20071108.0115.LDC2009T13_817_15,138891
APW_ENG_20070817.1450.LDC2009T13_88_5,APW_ENG_20070817.1450.LDC2009T13_88_17,APW_ENG_20070817.1450.LDC2009T13_88,Ryan Theriot-Braden Looper,f,APW_ENG_20070817.1450.LDC2009T13_88_5-APW_ENG_20070817.1450.LDC2009T13_88_17,22180
