person1_id,person2_id,sentence_id,description,is_true,relation_id,id
eng-WL-11-174583-12936803_20_8,eng-WL-11-174583-12936803_20_5,eng-WL-11-174583-12936803_20,Angelina Jolie-Brad Pitt,t,eng-WL-11-174583-12936803_20_8-eng-WL-11-174583-12936803_20_5,168937
AFP_ENG_20080425.0155.LDC2009T13_0_0,AFP_ENG_20080425.0155.LDC2009T13_0_3,AFP_ENG_20080425.0155.LDC2009T13_0,Lou Reed-Laurie Anderson,t,AFP_ENG_20080425.0155.LDC2009T13_0_0-AFP_ENG_20080425.0155.LDC2009T13_0_3,429670
NYT_ENG_20080906.0015.LDC2009T13_69_10,NYT_ENG_20080906.0015.LDC2009T13_69_70,NYT_ENG_20080906.0015.LDC2009T13_69,Brad Pitt-Jennifer Aniston,t,NYT_ENG_20080906.0015.LDC2009T13_69_10-NYT_ENG_20080906.0015.LDC2009T13_69_70,130968
APW_ENG_20080211.0056.LDC2009T13_1731_16,APW_ENG_20080211.0056.LDC2009T13_1731_9,APW_ENG_20080211.0056.LDC2009T13_1731,Lorraine Hunt Lieberson-Peter Lieberson,t,APW_ENG_20080211.0056.LDC2009T13_1731_16-APW_ENG_20080211.0056.LDC2009T13_1731_9,390753
AFP_ENG_20070705.0184.LDC2009T13_7_10,AFP_ENG_20070705.0184.LDC2009T13_7_5,AFP_ENG_20070705.0184.LDC2009T13_7,Tony Parker-Eva Longoria,t,AFP_ENG_20070705.0184.LDC2009T13_7_10-AFP_ENG_20070705.0184.LDC2009T13_7_5,52497
72634@15_7,72634@15_13,72634@15,Sam Riley-Alexandra Maria Lara,t,72634@15_7-72634@15_13,390304
AFP_ENG_20080801.0111.LDC2009T13_10_0,AFP_ENG_20080801.0111.LDC2009T13_10_3,AFP_ENG_20080801.0111.LDC2009T13_10,Brad Pitt-Angelina Jolie,t,AFP_ENG_20080801.0111.LDC2009T13_10_0-AFP_ENG_20080801.0111.LDC2009T13_10_3,459601
eng-WL-11-174595-12967847_72_8,eng-WL-11-174595-12967847_72_11,eng-WL-11-174595-12967847_72,Nicole Kidman-Keith Urban,t,eng-WL-11-174595-12967847_72_8-eng-WL-11-174595-12967847_72_11,62047
AFP_ENG_20080517.0074.LDC2009T13_43_1,AFP_ENG_20080517.0074.LDC2009T13_43_42,AFP_ENG_20080517.0074.LDC2009T13_43,Jia Zhangke-Zhao Tao,t,AFP_ENG_20080517.0074.LDC2009T13_43_1-AFP_ENG_20080517.0074.LDC2009T13_43_42,178862
eng-WL-11-174595-12968727_6_17,eng-WL-11-174595-12968727_6_0,eng-WL-11-174595-12968727_6,Abbie Cornish-Ryan Phillippe,t,eng-WL-11-174595-12968727_6_17-eng-WL-11-174595-12968727_6_0,429711
eng-WL-11-174595-12968262_2724_0,eng-WL-11-174595-12968262_2724_3,eng-WL-11-174595-12968262_2724,Anna Kournikova-Enrique Iglesias,t,eng-WL-11-174595-12968262_2724_0-eng-WL-11-174595-12968262_2724_3,459165
eng-WL-11-174595-12968547_1020_4,eng-WL-11-174595-12968547_1020_15,eng-WL-11-174595-12968547_1020,Gavin Rossdale-Gwen Stefani,t,eng-WL-11-174595-12968547_1020_4-eng-WL-11-174595-12968547_1020_15,257608
eng-NG-31-141957-9978735_486_16,eng-NG-31-141957-9978735_486_7,eng-NG-31-141957-9978735_486,Christine Marinoni-Cynthia Nixon,t,eng-NG-31-141957-9978735_486_16-eng-NG-31-141957-9978735_486_7,289056
AFP_ENG_20070417.0737.LDC2009T13_275_13,AFP_ENG_20070417.0737.LDC2009T13_275_16,AFP_ENG_20070417.0737.LDC2009T13_275,Brad Pitt-Angelina Jolie,t,AFP_ENG_20070417.0737.LDC2009T13_275_13-AFP_ENG_20070417.0737.LDC2009T13_275_16,9013
