p1_id,p2_id,doc_id,sentence_index,label,expectation,tokens,p1_text,p1_start,p1_end,p2_text,p2_start,p2_end
b5d4091a-4fb0-4afb-8d49-65e985f1be21_65_13_13,b5d4091a-4fb0-4afb-8d49-65e985f1be21_65_11_11,b5d4091a-4fb0-4afb-8d49-65e985f1be21,65,,0.994,"{Danny,was,on,the,ground,in,a,pickup,truck,"","",while,Mickey,and,Stan,flew,above,"","",issuing,instructions,on,where,to,change,the,co,se,.}",Stan,13,13,Mickey,11,11
248c8a3a-ea00-454d-b018-968e410c190f_41_16_16,248c8a3a-ea00-454d-b018-968e410c190f_41_18_18,248c8a3a-ea00-454d-b018-968e410c190f,41,,0.98,"{``,While,I,'m,as,entertained,as,anyone,by,this,personal,back-and-forth,about,the,history,of,Donald,and,Carly,'s,career,"","",'',he,said,"","",``,for,the,55-year-old,construction,worker,out,in,that,audience,tonight,who,does,n't,have,a,job,"","",who,ca,n't,fund,his,child,'s,education,--,I,got,ta,tell,you,the,truth,--,they,could,care,less,about,your,career,'',___,FIGHTING,FOR,ATTENTION,ON,A,CROWDED,STAGE,With,a,record,number,of,debate,participants,"","",they,could,n't,all,stand,out,.}",Donald,16,16,Carly,18,18
bdff3acf-88a1-473a-b3d7-542ec6cf20a1_66_9_9,bdff3acf-88a1-473a-b3d7-542ec6cf20a1_66_7_7,bdff3acf-88a1-473a-b3d7-542ec6cf20a1,66,,0.996,"{Lucy,and,Simon,do,deliver,Chloé,to,Thomas,and,Pierre,"","",but,they,say,there,is,one,more,returned,person,they,want,.}",Pierre,9,9,Thomas,7,7
8fe3c398-184d-4c31-b8ce-31bde7445d87_2_17_20,8fe3c398-184d-4c31-b8ce-31bde7445d87_2_13_15,8fe3c398-184d-4c31-b8ce-31bde7445d87,2,,0.995,"{She,was,born,October,2,"","",1963,in,West,Helena,"","",Arkansas,to,Arvey,Lee,Turner,and,Dorothy,Ann,Taylor,Turner,.}",Dorothy Ann Taylor Turner,17,20,Arvey Lee Turner,13,15
fd868d84-0c8b-4f60-8050-77013669a6d5_18_4_5,fd868d84-0c8b-4f60-8050-77013669a6d5_18_1_2,fd868d84-0c8b-4f60-8050-77013669a6d5,18,,1,"{05,Randeep,Hooda,and,Lisa,Haydon,:,Soon,after,the,release,of,her,successful,film,Queen,"","",model-turned-actor,Lisa,Haydon,and,actor,Randeep,Hooda,were,snapped,in,Mumbai,late,in,the,night,.}",Lisa Haydon,4,5,Randeep Hooda,1,2
38e9afdb-8323-4815-bcdc-40f54a69f0c8_54_13_14,38e9afdb-8323-4815-bcdc-40f54a69f0c8_54_10_11,38e9afdb-8323-4815-bcdc-40f54a69f0c8,54,,0.975,"{Dave,Mooney,and,the,SUNY,Plattsburgh,Bluegrass,Ensemble,including,guitarist/singer,Sue,Carrol,and,Stan,Ransom,"","",the,Connecticut,Peddler,"","",on,hammered,dulcimer,"","",guitar,and,mandolin,.}",Stan Ransom,13,14,Sue Carrol,10,11
d30a9e45-3b43-4082-a6c2-ae4f1db5fbf7_10_4_4,d30a9e45-3b43-4082-a6c2-ae4f1db5fbf7_10_6_6,d30a9e45-3b43-4082-a6c2-ae4f1db5fbf7,10,,0.999,"{It,is,claimed,that,Lee,and,Amy,"","",33,"","",met,six,months,ago,while,working,at,Shell,'s,decommissioning,plant,in,Aberdeen,.}",Lee,4,4,Amy,6,6
f20cb79c-6ef5-4213-96de-25c1e382d769_4_5_5,f20cb79c-6ef5-4213-96de-25c1e382d769_4_7_7,f20cb79c-6ef5-4213-96de-25c1e382d769,4,,0.989,"{As,in,that,classic,"","",Lainey,and,Jake,are,friends,and,commiserators,in,the,travails,of,the,Manhattan,dating,scene,who,'ve,made,a,pact,not,to,hook,up,.}",Lainey,5,5,Jake,7,7
d8532b10-491e-469d-a6b7-900867c676f3_16_8_8,d8532b10-491e-469d-a6b7-900867c676f3_16_10_10,d8532b10-491e-469d-a6b7-900867c676f3,16,,0.99,"{``,I,had,to,tell,my,parents,-LRB-,John,and,Elaine,-RRB-,which,I,found,really,hard,.}",John,8,8,Elaine,10,10
b1ec7d6b-4531-4d27-81cc-677c24384c70_22_4_4,b1ec7d6b-4531-4d27-81cc-677c24384c70_22_2_2,b1ec7d6b-4531-4d27-81cc-677c24384c70,22,,0.989,"{Not,even,Abbot,and,Costello,could,figure,that,one,out,.}",Costello,4,4,Abbot,2,2
99433959-950b-4eb9-afa0-d42fccde948b_1_24_25,99433959-950b-4eb9-afa0-d42fccde948b_1_27_28,99433959-950b-4eb9-afa0-d42fccde948b,1,,1,"{It,was,a,star,studded,affair,at,the,Pride,Of,Britain,awards,"","",as,David,Beckham,"","",Cheryl,Fernandez-Versini,and,television,stars,such,as,Susanna,Reid,and,Simon,Cowell,turned,up,to,the,lavish,event,at,The,Grosvenor,House,Hotel,"","",London,.}",Susanna Reid,24,25,Simon Cowell,27,28
a5d7430d-c0a2-4095-b8c0-27ff804b69e0_1_2_2,a5d7430d-c0a2-4095-b8c0-27ff804b69e0_1_0_0,a5d7430d-c0a2-4095-b8c0-27ff804b69e0,1,,0.987,"{Laurel,and,Jamie,fell,in,love,serendipitously,"","",almost,as,if,the,events,that,brought,them,together,were,fated,.}",Jamie,2,2,Laurel,0,0
ee4f3a61-e822-4d6a-bcb0-ee80a0bcff4f_22_21_21,ee4f3a61-e822-4d6a-bcb0-ee80a0bcff4f_22_23_23,ee4f3a61-e822-4d6a-bcb0-ee80a0bcff4f,22,,0.991,"{As,previously,reported,"","",things,will,begin,to,crumble,for,Juliette,during,an,interview,with,"","",get,this,"","",LIVE,with,Kelly,and,Michael,.}",Kelly,21,21,Michael,23,23
