relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
84632@33_25-84632@33_32,84632@33,Justine Levy-Enthoven,,0.992,"{Bruni,was,apparently,the,inspiration,for,an,unlikable,character,in,``,Rien,de,Grave,'',-LRB-,Nothing,Serious,-RRB-,"","",a,roman,a,clef,by,Justine,Levy,"","",the,former,wife,of,Enthoven,"","",and,the,daughter,of,the,writer,Bernard-Henri,Levy,.}",25,2,32,1,1,"{NGRAM_1_[wife],KW_IND_[non_married],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",""NGRAM_2_[wife of]""}","{5.01088,-2.20027,-2.15061,2.03006,-1.35882,1.08205}"
LTW_ENG_20071005.0057.LDC2009T13_817_11-LTW_ENG_20071005.0057.LDC2009T13_817_0,LTW_ENG_20071005.0057.LDC2009T13_817,Diego Rivera-Siqueiros,,0.913,"{Siqueiros,and,Brum,palled,around,with,another,tempestuous,leftist,couple,:,Diego,Rivera,"","",whose,politics,and,career,paralleled,that,of,Siqueiros,;,and,Frida,Kahlo,"","",who,has,since,become,an,international,emblem,for,indomitable,womanhood,.}",11,2,0,1,1,"{""INV_BETW_L_[prep_with nsubj]"",INV_NGRAM_1_[with],""INV_NER_L_3_R_2_[O O O]_[O O]"",INV_NGRAM_1_[another],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True]}","{1.51463,1.42247,-1.22689,1.1835,1.17156,-1.149}"
AFP_ENG_20070330.0045.LDC2009T13_8_3-AFP_ENG_20070330.0045.LDC2009T13_8_11,AFP_ENG_20070330.0045.LDC2009T13_8,Britney Spears-Kevin Federline,t,1,"{Troubled,pop,star,Britney,Spears,reached,a,divorce,settlement,Thursday,with,Kevin,Federline,less,than,three,years,after,the,pair,married,"","",celebrity,news,media,reported,.}",3,2,11,2,2,"{NGRAM_1_[divorce],STARTS_WITH_CAPITAL_[True_True],NGRAM_1_[with],""NER_L_2_R_1_[O O]_[DURATION]"",""NER_L_3_R_1_[O O O]_[DURATION]"",NER_L_1_R_1_[O]_[DURATION]}","{2.54123,-2.15061,0.916859,0.854136,0.854136,0.709226}"
NYT_ENG_20081110.0089.LDC2009T13_647_26-NYT_ENG_20081110.0089.LDC2009T13_647_0,NYT_ENG_20081110.0089.LDC2009T13_647,George H. W. Bush-Cutter,,0.985,"{Cutter,said,Mrs.,Bush,noted,that,Jenna,and,Barbara,Bush,were,similar,in,age,to,Malia,and,Sasha,Obama,when,they,visited,their,grandfather,"","",President,George,H.,W.,Bush,"","",during,his,presidency,.}",26,4,0,1,1,"{""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",INV_NGRAM_1_[they],""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_NGRAM_1_[Malia]}","{-1.42472,-1.22689,-1.21173,1.17156,-1.149,1.03199}"
AFP_ENG_20070207.0710.LDC2009T13_141_9-AFP_ENG_20070207.0710.LDC2009T13_141_20,AFP_ENG_20070207.0710.LDC2009T13_141,Gerard Depardieu-Emmanuelle Seigner,,0.999,"{Up-and-coming,actress,Marion,Cotillard,plays,the,diminutive,singer,"","",Gerard,Depardieu,her,love-struck,manager,and,Roman,Polanski,'s,wife,"","",Emmanuelle,Seigner,"","",the,prostitute,who,took,her,under,her,wing,.}",9,2,20,2,2,"{NGRAM_1_[wife],STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],""NGRAM_1_[,]"",NGRAM_1_[she],""NGRAM_3_['s wife ,]""}","{5.01088,-2.15061,2.03006,-1.35882,1.35843,-0.74503}"
eng-WL-11-174595-12967599_243_28-eng-WL-11-174595-12967599_243_17,eng-WL-11-174595-12967599_243,Brad Pitt-Robert Kaufman,,0.965,"{LOS,ANGELES,--,Us,Weekly,has,learned,exclusively,that,Jessica,Simpson,has,hired,high-powered,L.A.,divorce,attorney,Robert,Kaufman,"","",who,represented,Jennifer,Aniston,in,her,divorce,with,Brad,Pitt,earlier,this,year,"","",to,handle,her,divorce,with,Nick,Lachey,.}",28,2,17,2,2,"{INV_NGRAM_1_[divorce],INV_NGRAM_1_[Jennifer],""INV_NGRAM_1_[,]"",INV_NGRAM_1_[with],INV_NGRAM_1_[she],INV_STARTS_WITH_CAPITAL_[True_True]}","{2.05077,-1.63074,-1.42472,1.42247,1.24168,-1.149}"
NYT_ENG_20081118.0149.LDC2009T13_639_31-NYT_ENG_20081118.0149.LDC2009T13_639_40,NYT_ENG_20081118.0149.LDC2009T13_639,Jane Russell-Bob Waterfield,t,0.999,"{It,became,possible,again,to,envision,Hollywood,stars,coming,out,to,Dodger,Stadium,"","",in,the,Dodgers,tradition,of,Lasorda,'s,heyday,and,in,an,L.A.,sports,tradition,dating,back,to,Jane,Russell,'s,marriage,to,UCLA,and,Rams,quarterback,Bob,Waterfield,.}",31,2,40,2,2,"{NGRAM_1_[marriage],""NGRAM_2_[marriage to]"",STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_L_1_R_1_[to]_[.],""LEMMA_L_2_R_1_[back to]_[.]""}","{2.28325,2.15837,-2.15061,2.03006,-0.955758,-0.718984}"
87581@39_4-87581@39_0,87581@39,Howard Dean-Trippi,,0.919,"{Trippi,"","",who,was,Howard,Dean,'s,campaign,manager,in,2004,"","",invoked,his,experience,in,that,year,'s,Iowa,caucus,"","",when,the,Dean,campaign,predicted,unprecedented,turnouts,"","",which,never,materialized,.}",4,2,0,1,1,"{""INV_NGRAM_1_[,]"",""INV_NER_L_3_R_2_[O O O]_[O O]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_STARTS_WITH_CAPITAL_[True_True],INV_LEMMA_L_1_R_1_[.]_['s],""INV_NER_L_1_R_2_[O]_[O O]""}","{-1.42472,-1.22689,1.17156,-1.149,1.02679,0.995178}"
APW_ENG_20081215.0823.LDC2009T13_15_5-APW_ENG_20081215.0823.LDC2009T13_15_8,APW_ENG_20081215.0823.LDC2009T13_15,Naomi Watts-Liev Schreiber,t,1,"{It,'s,another,boy,for,Naomi,Watts,and,Liev,Schreiber,.}",5,2,8,2,2,"{STARTS_WITH_CAPITAL_[True_True],NER_L_1_R_1_[O]_[O],LEMMA_SEQ_[and],POS_SEQ_[CC],LEMMA_L_1_R_1_[for]_[.],""NER_L_3_R_1_[O O O]_[O]""}","{-2.15061,2.03006,1.56175,0.724491,0.691874,0.488205}"
NYT_ENG_20080307.0137.LDC2009T13_1646_50-NYT_ENG_20080307.0137.LDC2009T13_1646_15,NYT_ENG_20080307.0137.LDC2009T13_1646,Guy Ritchie-Madonna,t,1,"{After,the,titillation,of,1992,'s,``,Sex,'',book,and,high-profile,romantic,flings,"","",Madonna,--,who,will,turn,50,in,August,--,has,settled,into,what,many,might,call,a,regular,life,:,a,home,in,the,English,country,side,"","",a,seven-year,marriage,to,British,film,director,Guy,Ritchie,"","",three,children,-LRB-,one,of,them,controversially,adopted,from,Malawi,-RRB-,and,the,occasional,record-smashing,concert,tour,.}",50,2,15,1,1,"{INV_NGRAM_1_[marriage],""INV_NGRAM_1_[,]"",""INV_NGRAM_2_[marriage to]"",""INV_NER_L_3_R_1_[O O O]_[O]"",INV_NGRAM_1_[might],INV_STARTS_WITH_CAPITAL_[True_True]}","{1.87293,-1.42472,1.35149,1.17156,1.17005,-1.149}"
